"scene_id","season","tms_url"
"tile539601_736815_736967","GS","https://tiles.rasterfoundry.com/tiles/de5444c8-1fe0-4e94-a737-cbc3344ac3fe/{z}/{x}/{y}/?mapToken=18607454-6305-462e-ba33-4a91531e8b05"
"tile539602_736815_736967","GS","https://tiles.rasterfoundry.com/tiles/3d5c5a3c-63d6-4f03-8e71-9a2cb4498fc7/{z}/{x}/{y}/?mapToken=641d1245-634d-4e94-a83f-e5501d57a4df"
"tile539603_736815_736967","GS","https://tiles.rasterfoundry.com/tiles/c5de3244-46fd-4d9a-a7b6-57dba53acb2a/{z}/{x}/{y}/?mapToken=c0d4ed22-1574-441f-9fee-3aab2afe4232"
"tile539604_736815_736967","GS","https://tiles.rasterfoundry.com/tiles/72f3635c-0f5a-4ad0-8dfc-cb06d37c268a/{z}/{x}/{y}/?mapToken=84ea6a7f-09e0-4a46-9a3e-75ac37651fd9"
"tile539605_736815_736967","GS","https://tiles.rasterfoundry.com/tiles/d01aae2d-437b-4581-9a48-c5deab265cc0/{z}/{x}/{y}/?mapToken=1ec1cf46-b536-4c57-a0ad-0c72217b476c"
"tile539606_736815_736967","GS","https://tiles.rasterfoundry.com/tiles/22fe5000-743b-412d-bc6c-1f0d3c570416/{z}/{x}/{y}/?mapToken=42bbcecd-81b9-4ea9-b739-35b6f48e25e2"
"tile539607_736815_736967","GS","https://tiles.rasterfoundry.com/tiles/7f704b5a-8bea-4bef-868a-b4f7e4c50c4b/{z}/{x}/{y}/?mapToken=809afa68-76ae-4b1c-bf23-6ff79e20641c"
"tile539608_736815_736967","GS","https://tiles.rasterfoundry.com/tiles/82101362-c9e8-4293-bbe3-df0e6310424a/{z}/{x}/{y}/?mapToken=b9923b31-8cbd-424b-843f-220d0753fa25"
"tile539609_736815_736967","GS","https://tiles.rasterfoundry.com/tiles/72bc308d-3804-4643-8979-cbea649bba53/{z}/{x}/{y}/?mapToken=c346d070-be62-4337-aa8c-0d8b57f13f20"
"tile539610_736815_736967","GS","https://tiles.rasterfoundry.com/tiles/d212c005-e2ca-429c-88e0-953dcd45158c/{z}/{x}/{y}/?mapToken=41e64729-ffcf-41a4-85c6-73c1ce5dab06"


